roll,name,SE,OOS,CN,GTC,GGM,MATH,total
1038,Aritra Majumdar,85,94,100,98,99,90,566
1055,Shreyan Mondal,96,95,94,93,92,91,561
1045,Krishnendu Mondal,91,92,93,94,95,96,561
1064,Ankit Halder,87,96,95,94,93,92,557
1044,Sapatarshi Manna,90,91,92,93,94,95,555
1033,Divya Gupta,95,94,93,92,91,90,555
1022,Rajesh Singh,88,89,90,91,92,93,543
1051,Sneha Das,92,91,90,89,88,87,537
1067,Ananya Roy,85,86,87,88,89,90,525
1049,Kartik Sharma,80,82,84,86,88,90,510
1005,Abhishek Jha,91,92,94,89,95,90,551
1017,Vikas Rathore,88,90,92,94,91,89,544
1029,Rohan More,95,96,93,98,97,94,573
1036,Aditya Shinde,90,91,88,92,93,95,549
1048,Saurabh Misra,94,92,96,95,91,93,561
1058,Tanmay Bhattacharya,87,89,90,88,92,91,537
1066,Manish Pandey,92,95,94,91,90,93,555
1077,Rahul Hegde,98,97,99,96,94,95,579
1095,Prateek Yadav,91,93,92,90,94,95,555
1031,Arpita Deshmukh,89,91,92,90,88,94,544
1012,Snehal Pawar,72,75,68,70,74,71,430
1025,Ananya Kulkarni,65,60,72,68,66,64,395
1041,Megha Solanki,82,85,80,84,81,83,495
1053,Ishani Deshpande,68,70,65,72,69,67,411
1060,Riya Saxena,74,76,72,75,73,78,448
1071,Kavita Thakur,81,79,83,80,82,85,490
1084,Shikha Agrawal,70,72,75,71,73,74,435
1088,Arnav Joshi,86,88,85,87,89,90,525
1092,Siddhi Vats,62,65,60,68,64,66,385
1099,Nishant Mallick,76,78,80,77,75,79,465
